Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
L_CE,best_2c_net,5,41.2 ± 7.8,73.4 ± 5.3,37.8 ± 6.5,50.5 ± 9.0,41.2 ± 7.8
+ L_Ins2Ins,best_2c_net,5,40.0 ± 7.3,72.6 ± 5.1,34.0 ± 13.9,37.4 ± 20.8,40.0 ± 7.3
+ L_Ins2Cls,best_2c_net,5,40.0 ± 4.4,70.9 ± 3.2,38.7 ± 3.7,45.5 ± 4.2,40.0 ± 4.4
+ L_Cls2Cls (HOPE),best_2c_net,5,43.3 ± 6.7,72.5 ± 5.3,38.4 ± 10.7,41.0 ± 15.2,43.3 ± 6.7
Exclude Ins2Ins Ablation,best_2c_net,5,37.8 ± 6.8,70.6 ± 3.9,36.7 ± 8.5,41.3 ± 12.4,37.8 ± 6.8
Exclude Ins2Cls Ablation,best_2c_net,5,40.0 ± 5.6,72.5 ± 5.3,37.6 ± 8.7,42.0 ± 12.4,40.0 ± 5.6
Triplet Ins2Cls (Poles),best_2c_net,5,46.0 ± 2.6,69.8 ± 4.6,40.7 ± 7.3,43.8 ± 12.9,46.0 ± 2.6
