Variant,Model,N_Folds,ACC,QWK,AUC,F1-score,Precision,Recall
No EMA  (σ = 0),best_3c_net,5,55.0 ± 7.9,N/A,72.4 ± 6.0,54.2 ± 9.4,58.0 ± 10.3,55.0 ± 7.9
EMA     σ = 0.5,best_3c_net,5,57.5 ± 2.0,N/A,74.8 ± 4.2,57.2 ± 2.8,59.0 ± 4.1,57.5 ± 2.0
EMA     σ = 0.8,best_3c_net,5,58.3 ± 6.8,N/A,73.5 ± 4.6,57.6 ± 6.0,62.1 ± 7.2,58.3 ± 6.8
EMA     σ = 0.9  ★,best_3c_net,5,55.8 ± 4.9,N/A,72.3 ± 4.1,54.3 ± 4.5,60.2 ± 5.3,55.8 ± 4.9
EMA     σ = 0.99,best_3c_net,5,53.5 ± 4.0,N/A,71.4 ± 6.2,51.7 ± 5.9,57.3 ± 8.6,53.5 ± 4.0
EMA     σ = 0.999,best_3c_net,5,53.8 ± 4.9,N/A,72.9 ± 3.7,51.5 ± 7.0,58.5 ± 8.4,53.8 ± 4.9
