variant,val_acc,val_sen,val_spe,val_auc,val_f1
None,44.6 ± 2.4,44.6 ± 2.4,100.0 ± 0.0,50.0 ± 0.0,27.5 ± 2.5
0.5,75.6 ± 5.6,75.6 ± 5.6,61.1 ± 17.6,75.1 ± 7.8,74.3 ± 5.9
0.8,70.9 ± 8.4,70.9 ± 8.4,49.7 ± 33.5,61.7 ± 25.5,66.7 ± 14.7
0.9,72.7 ± 5.3,72.7 ± 5.3,65.3 ± 33.7,76.9 ± 5.5,70.2 ± 7.7
0.99,47.5 ± 5.8,47.5 ± 5.8,80.0 ± 44.7,54.3 ± 9.5,30.7 ± 6.5
0.999,58.4 ± 13.9,58.4 ± 13.9,75.6 ± 32.8,64.0 ± 15.7,50.6 ± 22.3
