epoch,ablation_loss,train_loss,train_acc,train_f1,val_loss,val_acc_4class,val_f1_4class,val_acc_3class,val_f1_3class,val_acc,val_f1,val_sen,val_spe,val_precision,val_auc
1,ins2ins,1.3580362203374374,0.4756637168141593,0.47176178562701304,0.6931471824645996,0.26666666666666666,0.19363636363636363,0.35,0.27666666666666667,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
2,ins2ins,0.8273396757060447,0.588495575221239,0.5835602752467131,0.6931471824645996,0.35,0.2252497225305216,0.35,0.2531017724413951,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
3,ins2ins,0.6406416894324058,0.7146017699115044,0.7123457781802189,0.6960077850442183,0.3,0.15,0.31666666666666665,0.1753333333333333,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3333333333333333,0.3684210526315789,0.21111111111111114
4,ins2ins,0.5400525295892648,0.7743362831858407,0.773459051497911,0.6929232666366979,0.4166666666666667,0.3352305449243667,0.5166666666666667,0.439452941987047,0.5263157894736842,0.41148325358851673,0.5263157894736842,1.0,0.7631578947368421,0.4555555555555555
5,ins2ins,0.4915324537231859,0.8207964601769911,0.8206065351824717,0.6849520300564013,0.36666666666666664,0.24655982905982904,0.38333333333333336,0.28231481481481485,0.631578947368421,0.5975708502024291,0.631578947368421,0.3333333333333333,0.6710526315789473,0.788888888888889
6,ins2ins,0.4147529472654636,0.827433628318584,0.8273785172947317,0.6979605649646959,0.35,0.3436706349206349,0.5,0.46527194211017747,0.5263157894736842,0.41148325358851673,0.5263157894736842,1.0,0.7631578947368421,0.34444444444444444
7,ins2ins,0.23063479111719448,0.9026548672566371,0.9025795870061194,0.6931471824645996,0.43333333333333335,0.36874722302714186,0.45,0.398013744450526,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
8,ins2ins,0.260946568439558,0.915929203539823,0.9159226190476191,0.6832087855590018,0.4666666666666667,0.503272022022022,0.6,0.6110220797720797,0.5789473684210527,0.5645933014354066,0.5789473684210527,0.7777777777777778,0.6059379217273954,0.7000000000000001
9,ins2ins,0.1340616951012506,0.9601769911504425,0.9602049371215648,0.6808945881692987,0.55,0.45467171717171717,0.55,0.45467171717171717,0.5789473684210527,0.5645933014354066,0.5789473684210527,0.7777777777777778,0.6059379217273954,0.7444444444444445
10,ins2ins,0.21697844758596832,0.9358407079646017,0.9358958876580022,0.6804062159437883,0.5,0.5025455927051671,0.6166666666666667,0.6201414115204982,0.631578947368421,0.6102212051868802,0.631578947368421,0.8888888888888888,0.6917293233082706,0.8666666666666667
11,ins2ins,0.029628784498776747,0.9977876106194691,0.9977900309639861,0.6806098473699469,0.43333333333333335,0.42000000000000004,0.5333333333333333,0.5224691358024691,0.5789473684210527,0.5413533834586466,0.5789473684210527,0.8888888888888888,0.6473684210526316,0.8111111111111111
12,ins2ins,0.022031310558385028,0.9977876106194691,0.9977900309639861,0.6805062670456735,0.4666666666666667,0.46592539454806314,0.5666666666666667,0.5730392156862745,0.6842105263157895,0.6560150375939849,0.6842105263157895,1.0,0.8105263157894737,0.7777777777777778
13,ins2ins,0.052570351828054515,0.9867256637168141,0.9867256637168141,0.6798609840242487,0.4666666666666667,0.4697700408338706,0.5833333333333334,0.5901010101010101,0.631578947368421,0.5839676113360324,0.631578947368421,1.0,0.7927631578947368,0.8777777777777778
14,ins2ins,0.1250829390307839,0.9668141592920354,0.9667967076259874,0.6866503891191984,0.2833333333333333,0.2955436720142603,0.43333333333333335,0.41064783868092697,0.5263157894736842,0.41148325358851673,0.5263157894736842,1.0,0.7631578947368421,0.7444444444444445
15,ins2ins,0.1087229114512097,0.9668141592920354,0.9668163733093699,0.677516331798152,0.5,0.481540404040404,0.5833333333333334,0.5621563460693896,0.6842105263157895,0.6788277511961723,0.6842105263157895,0.5555555555555556,0.6892230576441103,0.8444444444444446
16,ins2ins,0.08147686410003004,0.9712389380530974,0.9712509101143691,0.6821697573912772,0.31666666666666665,0.2561379928315412,0.4166666666666667,0.3522918389853874,0.6842105263157895,0.6560150375939849,0.6842105263157895,1.0,0.8105263157894737,0.7777777777777778
17,ins2ins,0.03640570329189037,0.9933628318584071,0.9933700928919582,0.6755007066224751,0.36666666666666664,0.3527721661054995,0.43333333333333335,0.4144388327721661,0.7368421052631579,0.7324192835028749,0.7368421052631579,0.8888888888888888,0.7669172932330827,0.8111111111111111
18,ins2ins,0.057529441674396525,0.9845132743362832,0.9845057857482401,0.6800891537415353,0.48333333333333334,0.5028220762976862,0.6,0.6018874643874644,0.631578947368421,0.5839676113360324,0.631578947368421,1.0,0.7927631578947368,0.8444444444444444
19,ins2ins,0.1039300345387145,0.9800884955752213,0.9800957236906367,0.6753172654854623,0.5333333333333333,0.5150328683662017,0.6166666666666667,0.6046913580246913,0.631578947368421,0.6102212051868802,0.631578947368421,0.8888888888888888,0.6917293233082706,0.8777777777777778
20,ins2ins,0.08394644837167146,0.9823008849557522,0.9822608558842039,0.6675167460190622,0.48333333333333334,0.4983810944761709,0.5333333333333333,0.5380009775171065,0.7894736842105263,0.7883040935672515,0.7894736842105263,0.8888888888888888,0.8050239234449762,0.9222222222222223
21,ins2ins,0.03236595189314237,0.995575221238938,0.9955847953216374,0.6931471824645996,0.4666666666666667,0.46182065217391305,0.5666666666666667,0.5727678571428572,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
22,ins2ins,0.021800222394542886,0.9977876106194691,0.9977900309639861,0.6731846583516974,0.4666666666666667,0.4935623516268678,0.5666666666666667,0.5661104931405264,0.6842105263157895,0.6734449760765551,0.6842105263157895,0.8888888888888888,0.7300944669365722,0.9111111111111112
23,ins2ins,0.05014005495828733,0.9889380530973452,0.9889404086112055,0.6835054943436071,0.25,0.20358707349311622,0.35,0.25769389848454766,0.6842105263157895,0.6560150375939849,0.6842105263157895,1.0,0.8105263157894737,0.7666666666666667
24,ins2ins,0.04817537859955852,0.9889380530973452,0.9889355134892261,0.6931471824645996,0.4,0.41848020434227334,0.5166666666666667,0.528177174039243,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
25,ins2ins,0.023182165734799563,1.0,1.0,0.6825097611075953,0.43333333333333335,0.45209842995169075,0.55,0.5476832877959926,0.631578947368421,0.5839676113360324,0.631578947368421,1.0,0.7927631578947368,0.7777777777777778
26,ins2ins,0.02440156263043791,1.0,1.0,0.6809217867098356,0.4666666666666667,0.5052150537634409,0.5666666666666667,0.5767935370085908,0.6842105263157895,0.6734449760765551,0.6842105263157895,0.8888888888888888,0.7300944669365722,0.7666666666666667
27,ins2ins,0.024678829027158497,1.0,1.0,0.6931471824645996,0.4,0.4131392689137284,0.5166666666666667,0.5240139734054541,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
28,ins2ins,0.02231325276311388,1.0,1.0,0.681675556458925,0.4166666666666667,0.424320652173913,0.5333333333333333,0.5345138888888888,0.631578947368421,0.5839676113360324,0.631578947368421,1.0,0.7927631578947368,0.8222222222222222
29,ins2ins,0.024632832612347815,1.0,1.0,0.681180128925725,0.43333333333333335,0.45296312882519785,0.5333333333333333,0.5384012539184952,0.6842105263157895,0.6560150375939849,0.6842105263157895,1.0,0.8105263157894737,0.8222222222222222
30,ins2ins,0.024619195206436965,1.0,1.0,0.6931471824645996,0.4,0.4131392689137284,0.5166666666666667,0.5240139734054541,0.47368421052631576,0.3045112781954888,0.47368421052631576,1.0,0.22437673130193903,0.5
