Variant,Training Labels,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
V1 (NC/MCI/AD),NC/MCI/AD,best_3c_net,5,50.2 ± 6.7,69.9 ± 5.3,49.2 ± 8.6,52.7 ± 9.4,50.2 ± 6.7
V2 (NC/sMCI/pMCI/AD),NC/sMCI/pMCI/AD,best_4c_net,5,45.3 ± 9.7,71.7 ± 5.4,43.3 ± 10.3,46.9 ± 9.4,45.3 ± 9.7
