Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
No EMA  (σ = 0),best_4c_net,5,46.2 ± 2.7,71.0 ± 3.8,41.5 ± 3.2,43.5 ± 6.1,46.2 ± 2.7
EMA     σ = 0.5,best_4c_net,5,45.3 ± 6.5,73.3 ± 3.3,43.9 ± 4.0,48.4 ± 7.0,45.3 ± 6.5
EMA     σ = 0.8,best_4c_net,5,48.8 ± 9.5,72.7 ± 4.3,45.8 ± 7.2,47.9 ± 4.7,48.8 ± 9.5
EMA     σ = 0.9  ★,best_4c_net,5,45.3 ± 9.6,71.1 ± 4.1,42.0 ± 7.7,45.5 ± 6.1,45.3 ± 9.6
EMA     σ = 0.99,best_4c_net,5,45.2 ± 5.6,71.9 ± 4.9,41.2 ± 6.0,47.6 ± 11.4,45.2 ± 5.6
EMA     σ = 0.999,best_4c_net,5,41.3 ± 6.4,71.8 ± 2.8,34.5 ± 7.3,33.5 ± 10.0,41.3 ± 6.4
