Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
No EMA  (σ = 0),best_2c_net,5,50.8 ± 9.8,50.0 ± 0.0,34.7 ± 10.9,26.6 ± 9.9,50.8 ± 9.8
EMA     σ = 0.5,best_2c_net,5,62.3 ± 11.9,72.9 ± 12.9,60.9 ± 12.0,69.1 ± 15.0,62.3 ± 11.9
EMA     σ = 0.8,best_2c_net,5,64.9 ± 11.8,68.1 ± 14.1,60.7 ± 17.3,77.2 ± 4.4,64.9 ± 11.8
EMA     σ = 0.9  ★,best_2c_net,5,56.0 ± 11.0,53.6 ± 18.2,50.5 ± 16.4,55.2 ± 20.2,56.0 ± 11.0
EMA     σ = 0.99,best_2c_net,5,56.2 ± 13.9,52.6 ± 17.8,43.1 ± 20.7,36.6 ± 23.9,56.2 ± 13.9
EMA     σ = 0.999,best_2c_net,5,45.7 ± 15.5,45.2 ± 10.8,32.8 ± 12.1,26.3 ± 10.1,45.7 ± 15.5
