epoch,ablation_loss,train_loss,train_acc,train_f1,val_loss,val_acc_4class,val_f1_4class,val_acc_3class,val_f1_3class,val_acc,val_f1,val_sen,val_spe,val_precision,val_auc
1,exp_hierarchical_triplet_ins2cls,1.2639165429462647,0.5064655172413793,0.5022357706006432,0.6761540032568432,0.38333333333333336,0.38083964646464646,0.5166666666666667,0.5084211682037769,0.47619047619047616,0.40634920634920635,0.47619047619047616,0.8888888888888888,0.5714285714285714,0.8703703703703705
2,exp_hierarchical_triplet_ins2cls,0.8824375013596025,0.5969827586206896,0.592286861304308,0.6784460431053525,0.3333333333333333,0.20730380730380732,0.4166666666666667,0.31191919191919193,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.7685185185185185
3,exp_hierarchical_triplet_ins2cls,0.8255364099710152,0.6724137931034483,0.6718715806147763,0.6709559559822083,0.48333333333333334,0.47347708314094866,0.5333333333333333,0.5328325924964581,0.6190476190476191,0.5619047619047619,0.6190476190476191,0.2222222222222222,0.634920634920635,0.75
4,exp_hierarchical_triplet_ins2cls,0.6054323923870407,0.7478448275862069,0.7472195374888417,0.6829584382829212,0.3333333333333333,0.17094017094017092,0.3333333333333333,0.17094017094017092,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.40740740740740744
5,exp_hierarchical_triplet_ins2cls,0.5574562773108482,0.7801724137931034,0.7802422169482061,0.6479640177318028,0.4666666666666667,0.4185118149824032,0.5166666666666667,0.46874437312193806,0.6666666666666666,0.6590389016018305,0.6666666666666666,0.8888888888888888,0.7346938775510203,0.8333333333333334
6,exp_hierarchical_triplet_ins2cls,0.40879531663938845,0.8491379310344828,0.8490839837501433,0.6359907927967253,0.43333333333333335,0.3803221288515406,0.5,0.4297435897435898,0.7142857142857143,0.6714285714285715,0.7142857142857143,0.3333333333333333,0.8095238095238095,0.8425925925925926
7,exp_hierarchical_triplet_ins2cls,0.35908684315930667,0.8836206896551724,0.883402670775552,0.6651384064129421,0.35,0.2832400149309444,0.4666666666666667,0.38372734436564226,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.8240740740740741
8,exp_hierarchical_triplet_ins2cls,0.3898597264919302,0.8556034482758621,0.855508740033278,0.6777249163105374,0.3333333333333333,0.22958333333333333,0.38333333333333336,0.28791666666666665,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.8240740740740742
9,exp_hierarchical_triplet_ins2cls,0.3251887385829769,0.896551724137931,0.8965067974823889,0.6364580875351316,0.45,0.37324189921443923,0.5166666666666667,0.43966757879801366,0.6666666666666666,0.6681922196796338,0.6666666666666666,0.6666666666666666,0.6727272727272726,0.8055555555555556
10,exp_hierarchical_triplet_ins2cls,0.17427050709274822,0.9525862068965517,0.9525671870184967,0.6317368944485983,0.45,0.4388602625444731,0.5333333333333333,0.5007314524555905,0.7142857142857143,0.6714285714285715,0.7142857142857143,0.3333333333333333,0.8095238095238095,0.8240740740740741
11,exp_hierarchical_triplet_ins2cls,0.08276472370750432,0.9849137931034483,0.9848925972036123,0.613718643074944,0.4666666666666667,0.4772314013462715,0.5333333333333333,0.5292570317720673,0.7619047619047619,0.7513227513227513,0.7619047619047619,0.5555555555555556,0.7761904761904761,0.8148148148148149
12,exp_hierarchical_triplet_ins2cls,0.17934007982819758,0.9439655172413793,0.9439613526570049,0.6167997547558376,0.4,0.3961967556253271,0.48333333333333334,0.4473177257525084,0.7619047619047619,0.7366426676771505,0.7619047619047619,0.4444444444444444,0.8319327731092436,0.8518518518518519
13,exp_hierarchical_triplet_ins2cls,0.13681716534533891,0.9655172413793104,0.9655166007097338,0.6020675400892893,0.4,0.40403445955041056,0.45,0.4416842105263158,0.8095238095238095,0.7959183673469388,0.8095238095238095,0.5555555555555556,0.8571428571428571,0.8148148148148149
14,exp_hierarchical_triplet_ins2cls,0.042830900722665,0.9978448275862069,0.9978471250196981,0.6034012493633089,0.35,0.34508904837852206,0.4166666666666667,0.3963383838383839,0.7619047619047619,0.7366426676771505,0.7619047619047619,0.4444444444444444,0.8319327731092436,0.8333333333333335
15,exp_hierarchical_triplet_ins2cls,0.16532975799757346,0.9741379310344828,0.9741374505323003,0.6685046993550801,0.3,0.24347826086956523,0.4166666666666667,0.34466403162055337,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.8425925925925926
16,exp_hierarchical_triplet_ins2cls,0.11781637773624268,0.9762931034482759,0.9762880238474732,0.6252791356472742,0.5,0.5233396882519689,0.5666666666666667,0.5712339597397069,0.7619047619047619,0.7366426676771505,0.7619047619047619,0.4444444444444444,0.8319327731092436,0.7870370370370371
17,exp_hierarchical_triplet_ins2cls,0.06912567639916108,0.9849137931034483,0.9849188265959229,0.6313978263310024,0.5666666666666667,0.5752896613190731,0.65,0.6475000000000001,0.6666666666666666,0.6635294117647058,0.6666666666666666,0.5555555555555556,0.6634615384615384,0.7685185185185185
18,exp_hierarchical_triplet_ins2cls,0.03995343934391336,0.9956896551724138,0.9956896151305652,0.6291223480587914,0.4666666666666667,0.46558352402745995,0.55,0.5280456114494047,0.7142857142857143,0.6714285714285715,0.7142857142857143,0.3333333333333333,0.8095238095238095,0.7962962962962963
19,exp_hierarchical_triplet_ins2cls,0.030350559455310476,1.0,1.0,0.6467333010264805,0.4166666666666667,0.41263370762599116,0.55,0.5280456114494047,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.7962962962962963
20,exp_hierarchical_triplet_ins2cls,0.046300543247368826,0.9956896551724138,0.9956896151305652,0.6470715545472645,0.3,0.26870370370370367,0.43333333333333335,0.3809143518518519,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.8796296296296297
21,exp_hierarchical_triplet_ins2cls,0.06576295453926613,0.9892241379310345,0.9892169265819374,0.6018320605868385,0.43333333333333335,0.44671671671671676,0.5,0.501438938938939,0.7619047619047619,0.7366426676771505,0.7619047619047619,0.4444444444444444,0.8319327731092436,0.8148148148148149
22,exp_hierarchical_triplet_ins2cls,0.10951997951508083,0.9827586206896551,0.9827491708134004,0.5868285497029623,0.43333333333333335,0.45193983175407326,0.5,0.507272503054967,0.7619047619047619,0.7513227513227513,0.7619047619047619,0.5555555555555556,0.7761904761904761,0.8333333333333334
23,exp_hierarchical_triplet_ins2cls,0.041465098624406706,0.9978448275862069,0.9978471250196981,0.6069035047576541,0.4666666666666667,0.48525776358288675,0.5666666666666667,0.5606970708194291,0.7142857142857143,0.6714285714285715,0.7142857142857143,0.3333333333333333,0.8095238095238095,0.8518518518518519
24,exp_hierarchical_triplet_ins2cls,0.03239396220908083,1.0,1.0,0.6285305392174494,0.43333333333333335,0.43853683180196396,0.55,0.5501064707113229,0.6190476190476191,0.5142857142857143,0.6190476190476191,0.1111111111111111,0.7714285714285714,0.8425925925925926
25,exp_hierarchical_triplet_ins2cls,0.03857518559129074,0.9978448275862069,0.9978471250196981,0.623906155427297,0.4666666666666667,0.4896973317403425,0.5666666666666667,0.5629231381919554,0.6666666666666666,0.5982404692082112,0.6666666666666666,0.2222222222222222,0.7894736842105262,0.8240740740740741
26,exp_hierarchical_triplet_ins2cls,0.029789004908425027,1.0,1.0,0.6270743012428284,0.4666666666666667,0.4974873451063927,0.5666666666666667,0.5678058361391695,0.6666666666666666,0.5982404692082112,0.6666666666666666,0.2222222222222222,0.7894736842105262,0.8240740740740741
27,exp_hierarchical_triplet_ins2cls,0.03064559549414392,1.0,1.0,0.6413637740271432,0.4166666666666667,0.4395622584698215,0.5333333333333333,0.5336500754147813,0.6190476190476191,0.5142857142857143,0.6190476190476191,0.1111111111111111,0.7714285714285714,0.8240740740740741
28,exp_hierarchical_triplet_ins2cls,0.03193089687104883,1.0,1.0,0.6308090190092722,0.4666666666666667,0.4926741588348167,0.5666666666666667,0.5629231381919554,0.6666666666666666,0.5982404692082112,0.6666666666666666,0.2222222222222222,0.7894736842105262,0.8240740740740741
