epoch,ablation_loss,train_loss,train_acc,train_f1,val_loss,val_acc_4class,val_f1_4class,val_acc_3class,val_f1_3class,val_acc,val_f1,val_sen,val_spe,val_precision,val_auc
1,full,1.3971252322458385,0.4451754385964912,0.4352848764139087,0.6931471824645996,0.15,0.03913043478260869,0.35,0.18148148148148147,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
2,full,0.9621051212674693,0.5877192982456141,0.5818981900452489,0.6856613443011329,0.2833333333333333,0.1267543859649123,0.2833333333333333,0.1267543859649123,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.6018518518518519
3,full,0.9766643217258286,0.5986842105263158,0.5944856555545625,0.7096190651257833,0.36666666666666664,0.1967479674796748,0.36666666666666664,0.1967479674796748,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.1481481481481482
4,full,0.8325367664035997,0.6973684210526315,0.6969864456671309,0.6753837579772586,0.5166666666666667,0.5285714285714286,0.6,0.6003105590062111,0.6666666666666666,0.6590389016018305,0.6666666666666666,0.8888888888888888,0.7346938775510203,0.8240740740740742
5,full,0.6466792455890722,0.8135964912280702,0.8134807160445685,0.6931471824645996,0.36666666666666664,0.2016666666666667,0.36666666666666664,0.2016666666666667,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
6,full,0.7401455829018041,0.7631578947368421,0.7631737731295253,0.667472121261415,0.38333333333333336,0.3555982905982906,0.5,0.46670940170940167,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.7037037037037037
7,full,0.5759709627743352,0.8771929824561403,0.8769250198981464,0.6839547668184552,0.4666666666666667,0.3835811751601225,0.5333333333333333,0.46394591680145997,0.6190476190476191,0.6207792207792208,0.6190476190476191,0.6666666666666666,0.6337662337662336,0.7037037037037037
8,full,0.47939625826843996,0.8947368421052632,0.8947348171517612,0.6819956671623957,0.45,0.4492424242424242,0.55,0.5200915750915751,0.6666666666666666,0.6518518518518519,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.7314814814814815
9,full,0.4026340614808233,0.918859649122807,0.918861535234836,0.6931471824645996,0.4166666666666667,0.39900332225913626,0.55,0.5353246753246753,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
10,full,0.43765939138176146,0.9210526315789473,0.9210309365018993,0.688707118942624,0.31666666666666665,0.2707118967988533,0.4666666666666667,0.3865424430641822,0.5714285714285714,0.41558441558441556,0.5714285714285714,0.0,0.32653061224489793,0.5462962962962963
11,full,0.3809920363128185,0.9429824561403509,0.9430326464620508,0.6931471824645996,0.4,0.412631387921022,0.55,0.5550612084456424,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
12,full,0.2519476867950799,0.9802631578947368,0.9802598837947636,0.679485695702689,0.5666666666666667,0.5811203860701709,0.65,0.6546362627383715,0.7142857142857143,0.6714285714285715,0.7142857142857143,0.3333333333333333,0.8095238095238095,0.638888888888889
13,full,0.1975989553489183,0.9868421052631579,0.9868410927279723,0.683607836564382,0.4666666666666667,0.489491672282661,0.6,0.5998190045248869,0.6190476190476191,0.5619047619047619,0.6190476190476191,0.2222222222222222,0.634920634920635,0.6666666666666666
14,full,0.3089739368542245,0.9671052631578947,0.9670519435844513,0.6751568941842943,0.38333333333333336,0.37,0.48333333333333334,0.44107692307692303,0.6666666666666666,0.5982404692082112,0.6666666666666666,0.2222222222222222,0.7894736842105262,0.7407407407407408
15,full,0.3355390398779459,0.956140350877193,0.9561584866056628,0.6825126579829625,0.5333333333333333,0.5490383905500184,0.65,0.6566810966810966,0.6190476190476191,0.5619047619047619,0.6190476190476191,0.2222222222222222,0.634920634920635,0.6666666666666666
16,full,0.26395665860751216,0.9780701754385965,0.9780684878799538,0.6724900092397418,0.4166666666666667,0.4339914356547217,0.5333333333333333,0.5195216907675195,0.6190476190476191,0.5918367346938774,0.6190476190476191,0.3333333333333333,0.6142857142857142,0.75
17,full,0.13998335488794142,0.9956140350877193,0.9956139507146567,0.6931471824645996,0.36666666666666664,0.3718767507002801,0.5166666666666667,0.5126261652201864,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
18,full,0.13908843290910386,0.993421052631579,0.9934281875329909,0.6931471824645996,0.38333333333333336,0.3805189930433912,0.55,0.5341909814323607,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
19,full,0.10283292176430686,0.9956140350877193,0.9956140350877193,0.6803476214408875,0.45,0.46457871081526997,0.5666666666666667,0.5630426125049781,0.6190476190476191,0.5142857142857143,0.6190476190476191,0.1111111111111111,0.7714285714285714,0.6481481481481481
20,full,0.14252445235717714,0.9978070175438597,0.9978093958443304,0.6882050264449346,0.35,0.3956781609195403,0.5166666666666667,0.5117291627410339,0.47619047619047616,0.420613868889731,0.47619047619047616,0.1111111111111111,0.40966386554621853,0.4629629629629629
21,full,0.1353924215297427,0.9956140350877193,0.9956140350877193,0.6931471824645996,0.38333333333333336,0.39400921658986177,0.55,0.5462340409458336,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
22,full,0.10102799897523303,0.9978070175438597,0.9978093958443304,0.6842409145264399,0.4666666666666667,0.48365079365079366,0.5666666666666667,0.5606861239119304,0.6666666666666666,0.5982404692082112,0.6666666666666666,0.2222222222222222,0.7894736842105262,0.5555555555555556
23,full,0.09878548535338619,0.993421052631579,0.993413759531131,0.6854206096558344,0.38333333333333336,0.39467253176930595,0.5333333333333333,0.5347979236188358,0.5238095238095238,0.503968253968254,0.5238095238095238,0.7777777777777778,0.5809523809523809,0.4814814814814815
24,full,0.2886934896702306,0.9758771929824561,0.9758650489172208,0.6937128929864793,0.36666666666666664,0.38692684036864267,0.5333333333333333,0.515591577540107,0.47619047619047616,0.40634920634920635,0.47619047619047616,0.8888888888888888,0.5714285714285714,0.6018518518518519
25,full,0.3475325154630761,0.9736842105263158,0.9735568823675681,0.6931471824645996,0.4166666666666667,0.41296859169199596,0.55,0.5517352703793381,0.42857142857142855,0.2571428571428571,0.42857142857142855,1.0,0.18367346938775508,0.5
